	title	link	salary_min	salary_max	salary_currency	source
87	Оператор телефонных продаж	https://hh.ru/vacancy/50400881		38000.0	руб.	hh.ru
88	Торговый представитель	https://hh.ru/vacancy/51875078	265000.0	600000.0	KZT	hh.ru
89	Повар	https://hh.ru/vacancy/50512190		60000.0	руб.	hh.ru
90	Менеджер по продажам/специалист отдела продаж/помощник менеджера	https://hh.ru/vacancy/50946303		2150.0	бел.руб.	hh.ru
91	Тестовая вакансия QA для тестирования // Не откликайтесь	https://hh.ru/vacancy/51693996		20000.0	руб.	hh.ru
92	Бухгалтер -консультант (удаленно)	https://hh.ru/vacancy/51774464	50000.0	60000.0	руб.	hh.ru
93	Менеджер по подбору персонала / HR-менеджер ( Не массовый подбор)	https://hh.ru/vacancy/50629373		86000.0	руб.	hh.ru
94	Менеджер по работе с клиентами	https://hh.ru/vacancy/51739196	200.0	1000.0	USD	hh.ru
95	Администратор в стоматологию (отдел заботы)	https://hh.ru/vacancy/51787458		60000.0	руб.	hh.ru
96	Куратор в международную школу программирования для детей	https://hh.ru/vacancy/51906685	200000.0	300000.0	KZT	hh.ru
97	Юрист (юрисконсульт)	https://hh.ru/vacancy/51521056	80000.0	100000.0	руб.	hh.ru
98	Водитель-курьер на служебном автомобиле Ford Transit	https://hh.ru/vacancy/51841661	80000.0	130000.0	руб.	hh.ru
99	Менеджер по работе с ключевыми клиентами малого бизнеса	https://hh.ru/vacancy/45790891		110000.0	руб.	hh.ru
100	Операционный директор	https://hh.ru/vacancy/51892526	120.0	200.0	руб.	hh.ru
101	Менеджер по закупкам	https://hh.ru/vacancy/50693710	90000.0	110000.0	руб.	hh.ru
102	"Менеджер в проект Take Eat Easy Group ресторан ""LOYO"""	https://hh.ru/vacancy/51716389		350000.0	KZT	hh.ru
103	Менеджер\оператор колл центра	https://hh.ru/vacancy/49215176	35000.0	100000.0	руб.	hh.ru
104	Менеджер интернет-магазина	https://hh.ru/vacancy/50807377		50000.0	руб.	hh.ru
105	Аналитик (техническая документация)	https://hh.ru/vacancy/51720768		60000.0	руб.	hh.ru
106	Разработчик на C#/C++ (Junior)	https://hh.ru/vacancy/51910107				hh.ru
107	Менеджер интернет-магазина СберМегаМаркет	https://hh.ru/vacancy/51402753		25000.0	руб.	hh.ru
108	Ученик переплетчика-станочника в типографию	https://hh.ru/vacancy/50781054	900.0	1600.0	бел.руб.	hh.ru
109	Руководитель отдела продаж	https://hh.ru/vacancy/51828263	300000.0	700000.0	KZT	hh.ru
